Year,Province,Species Group,Species,Quantity (kgs),Value (CAD)
2012,Atlantic,Groundfish,Total groundfish,"81,449,004","169,523,043"
2012,Atlantic,Grand total,Grand total,"673,922,295","1,907,514,014"
2012,British Columbia,Shellfish,Clams / quahaug,"1,421,000","26,172,000"
2012,British Columbia,Shellfish,"Crab, Other","2,942,000","27,345,000"
2012,British Columbia,Shellfish,"Crab, Queen",0,0
2012,British Columbia,Shellfish,Lobster,0,0
2012,British Columbia,Shellfish,Other shellfish,"1,522,000","23,286,000"
2012,British Columbia,Shellfish,Scallop,"3,000","21,000"
2012,British Columbia,Shellfish,Sea cucumber,0,0
2012,British Columbia,Shellfish,Sea urchin,"1,543,000","1,934,000"
2012,British Columbia,Shellfish,Shrimp,"431,000","1,399,000"
2012,British Columbia,Shellfish,Total shellfish,"7,862,000","80,157,000"
2012,British Columbia,Pelagics,Alewife,0,0
2012,British Columbia,Pelagics,Capelin,0,0
2012,British Columbia,Pelagics,Eel,0,0
2012,British Columbia,Pelagics,Elvers,0,0
2012,British Columbia,Pelagics,Herring,"9,390,000","5,140,000"
2012,British Columbia,Pelagics,Mackerel,"3,000","1,000"
2012,British Columbia,Pelagics,Other pelagic/finfish,"12,574,000","2,040,000"
2012,British Columbia,Pelagics,Salmon,"8,988,000","24,268,000"
2012,British Columbia,Pelagics,Shark,0,0
2012,British Columbia,Pelagics,Silversides,0,0
2012,British Columbia,Pelagics,Swordfish,0,0
2012,British Columbia,Pelagics,Total pelagics,"32,346,000","37,620,000"
2012,British Columbia,Pelagics,Tuna,"1,391,000","6,171,000"
2012,British Columbia,Other,Marine plants,0,0
2012,British Columbia,Other,Miscellaneous,"14,000","2,000"
2012,British Columbia,Other,Total other,"14,000","2,000"
2012,British Columbia,Groundfish,Cod,"1,265,000","1,220,000"
2012,British Columbia,Groundfish,Flatfishes,"10,075,000","4,532,000"
2012,British Columbia,Groundfish,Greenland turbot,0,0
2012,British Columbia,Groundfish,Haddock,0,0
2012,British Columbia,Groundfish,Hake,"46,913,000","11,604,000"
2012,British Columbia,Groundfish,Halibut,"3,694,000","33,011,000"
2012,British Columbia,Groundfish,Other groundfish,"4,656,000","25,133,000"
2012,British Columbia,Groundfish,Pollock,"5,131,000","1,296,000"
2012,British Columbia,Groundfish,Redfish spp.,"16,584,000","17,659,000"
2012,British Columbia,Groundfish,Skate,"979,000","889,000"
2012,British Columbia,Groundfish,Total groundfish,"89,297,000","95,344,000"
2012,British Columbia,Grand total,Grand total,"129,519,000","213,123,000"
2012,Canada,Shellfish,Clams / quahaug,"29,052,010","71,499,682"
2012,Canada,Shellfish,"Crab, Other","9,412,640","33,818,269"
2012,Canada,Shellfish,"Crab, Queen","92,848,899","429,142,851"
2012,Canada,Shellfish,Lobster,"74,790,095","662,798,439"
2012,Canada,Shellfish,Other shellfish,"9,959,411","37,500,490"
2012,Canada,Shellfish,Scallop,"53,309,031","114,284,196"
2012,Canada,Shellfish,Sea cucumber,"5,921,758","3,612,728"
2012,Canada,Shellfish,Sea urchin,"4,066,824","8,352,240"
2012,Canada,Shellfish,Shrimp,"149,305,222","346,592,174"
2012,Canada,Shellfish,Total shellfish,"428,665,890","1,707,601,068"
2012,Canada,Pelagics,Alewife,"1,946,183","1,557,653"
2012,Canada,Pelagics,Capelin,"31,777,381","6,772,973"
2012,Canada,Pelagics,Eel,"375,368","2,800,161"
2012,Canada,Pelagics,Elvers,"4,191","22,956,191"
2012,Canada,Pelagics,Herring,"123,380,121","49,434,557"
2012,Canada,Pelagics,Mackerel,"6,471,085","5,529,804"
2012,Canada,Pelagics,Other pelagic/finfish,"12,889,241","2,590,315"
2012,Canada,Pelagics,Salmon,"8,988,000","24,268,000"
2012,Canada,Pelagics,Shark,"67,466","104,206"
2012,Canada,Pelagics,Silversides,"421,594","684,729"
2012,Canada,Pelagics,Swordfish,"1,484,765","10,631,496"
2012,Canada,Pelagics,Total pelagics,"189,968,002","145,143,592"
2012,Canada,Pelagics,Tuna,"2,162,607","17,813,507"
2012,Canada,Other,Marine plants,"13,832,650","1,343,030"
2012,Canada,Other,Miscellaneous,"228,749","1,682,281"
2012,Canada,Other,Total other,"14,061,399","3,025,311"
2012,Canada,Groundfish,Cod,"12,262,905","15,848,904"
2012,Canada,Groundfish,Flatfishes,"15,356,057","12,087,102"
2012,Canada,Groundfish,Greenland turbot,"13,431,819","58,021,617"
2012,Canada,Groundfish,Haddock,"9,329,541","20,079,924"
2012,Canada,Groundfish,Hake,"58,526,535","20,314,948"
2012,Canada,Groundfish,Halibut,"6,579,441","64,030,488"
2012,Canada,Groundfish,Other groundfish,"10,986,732","36,338,250"
2012,Canada,Groundfish,Pollock,"10,908,211","7,345,811"
2012,Canada,Groundfish,Redfish spp.,"31,559,857","29,494,064"
2012,Canada,Groundfish,Skate,"1,804,906","1,305,934"
2012,Canada,Groundfish,Total groundfish,"170,746,004","264,867,043"
2012,Canada,Grand total,Grand total,"803,441,295","2,120,637,014"
2012,New Brunswick,Shellfish,Clams / quahaug,x,x
2012,New Brunswick,Shellfish,"Crab, Other","1,660,660","1,700,150"
2012,New Brunswick,Shellfish,"Crab, Queen","9,218,127","50,791,745"
2012,New Brunswick,Shellfish,Lobster,"13,484,023","107,218,975"
2012,New Brunswick,Shellfish,Other shellfish,x,x
2012,New Brunswick,Shellfish,Scallop,"1,853,940","4,524,309"
2012,New Brunswick,Shellfish,Sea cucumber,x,x
2012,New Brunswick,Shellfish,Sea urchin,"988,978","2,853,829"
2012,New Brunswick,Shellfish,Shrimp,"6,086,899","10,561,058"
2012,New Brunswick,Shellfish,Total shellfish,"35,155,547","179,978,132"
2012,New Brunswick,Pelagics,Alewife,"1,281,743","1,017,912"
2012,New Brunswick,Pelagics,Capelin,x,x
2012,New Brunswick,Pelagics,Eel,"160,900","1,230,990"
2012,New Brunswick,Pelagics,Elvers,x,x
2012,New Brunswick,Pelagics,Herring,"25,467,236","11,593,554"
2012,New Brunswick,Pelagics,Mackerel,"524,353","485,910"
2012,New Brunswick,Pelagics,Other pelagic/finfish,"267,689","402,572"
2012,New Brunswick,Pelagics,Salmon,0,0
2012,New Brunswick,Pelagics,Shark,0,0
2012,New Brunswick,Pelagics,Silversides,0,0
2012,New Brunswick,Pelagics,Swordfish,0,0
2012,New Brunswick,Pelagics,Total pelagics,"27,859,385","19,359,781"
2012,New Brunswick,Pelagics,Tuna,"10,174","205,941"
2012,New Brunswick,Other,Marine plants,x,x
2012,New Brunswick,Other,Miscellaneous,0,0
2012,New Brunswick,Other,Total other,"11,372,053","653,943"
2012,New Brunswick,Groundfish,Cod,"4,555","11,172"
2012,New Brunswick,Groundfish,Flatfishes,x,x
2012,New Brunswick,Groundfish,Greenland turbot,x,x
2012,New Brunswick,Groundfish,Haddock,0,0
2012,New Brunswick,Groundfish,Hake,x,x
2012,New Brunswick,Groundfish,Halibut,"67,289","754,498"
2012,New Brunswick,Groundfish,Other groundfish,"13,447","7,808"
2012,New Brunswick,Groundfish,Pollock,x,x
2012,New Brunswick,Groundfish,Redfish spp.,x,x
2012,New Brunswick,Groundfish,Skate,0,0
2012,New Brunswick,Groundfish,Total groundfish,"92,673","782,567"
2012,New Brunswick,Grand total,Grand total,"74,479,658","200,774,423"
2012,Newfoundland and Labrador,Shellfish,Clams / quahaug,x,x
2012,Newfoundland and Labrador,Shellfish,"Crab, Other",x,x
2012,Newfoundland and Labrador,Shellfish,"Crab, Queen","50,462,112","216,920,941"
2012,Newfoundland and Labrador,Shellfish,Lobster,"2,123,203","19,354,673"
2012,Newfoundland and Labrador,Shellfish,Other shellfish,"5,116,995","7,205,718"
2012,Newfoundland and Labrador,Shellfish,Scallop,"1,580,693","3,040,761"
2012,Newfoundland and Labrador,Shellfish,Sea cucumber,"1,120,559","863,985"
2012,Newfoundland and Labrador,Shellfish,Sea urchin,"518,644","972,269"
2012,Newfoundland and Labrador,Shellfish,Shrimp,"102,677,516","247,782,553"
2012,Newfoundland and Labrador,Shellfish,Total shellfish,"187,367,031","535,265,606"
2012,Newfoundland and Labrador,Pelagics,Alewife,0,0
2012,Newfoundland and Labrador,Pelagics,Capelin,"31,152,828","6,656,167"
2012,Newfoundland and Labrador,Pelagics,Eel,"63,934","434,033"
2012,Newfoundland and Labrador,Pelagics,Elvers,0,0
2012,Newfoundland and Labrador,Pelagics,Herring,"24,918,453","8,239,488"
2012,Newfoundland and Labrador,Pelagics,Mackerel,"2,619,152","1,988,533"
2012,Newfoundland and Labrador,Pelagics,Other pelagic/finfish,x,x
2012,Newfoundland and Labrador,Pelagics,Salmon,0,0
2012,Newfoundland and Labrador,Pelagics,Shark,x,x
2012,Newfoundland and Labrador,Pelagics,Silversides,0,0
2012,Newfoundland and Labrador,Pelagics,Swordfish,0,0
2012,Newfoundland and Labrador,Pelagics,Total pelagics,"58,792,148","17,569,075"
2012,Newfoundland and Labrador,Pelagics,Tuna,"25,983","230,913"
2012,Newfoundland and Labrador,Other,Marine plants,0,0
2012,Newfoundland and Labrador,Other,Miscellaneous,"214,382","1,674,640"
2012,Newfoundland and Labrador,Other,Total other,"214,382","1,674,640"
2012,Newfoundland and Labrador,Groundfish,Cod,"8,334,298","9,425,439"
2012,Newfoundland and Labrador,Groundfish,Flatfishes,"2,971,237","3,889,336"
2012,Newfoundland and Labrador,Groundfish,Greenland turbot,"10,512,186","50,208,695"
2012,Newfoundland and Labrador,Groundfish,Haddock,"105,630","104,983"
2012,Newfoundland and Labrador,Groundfish,Hake,"254,509","221,678"
2012,Newfoundland and Labrador,Groundfish,Halibut,"626,391","5,149,681"
2012,Newfoundland and Labrador,Groundfish,Other groundfish,"1,975,175","6,742,576"
2012,Newfoundland and Labrador,Groundfish,Pollock,"338,995","215,474"
2012,Newfoundland and Labrador,Groundfish,Redfish spp.,"1,330,110","2,250,052"
2012,Newfoundland and Labrador,Groundfish,Skate,"550,671","226,322"
2012,Newfoundland and Labrador,Groundfish,Total groundfish,"26,999,202","78,434,235"
2012,Newfoundland and Labrador,Grand total,Grand total,"273,372,763","632,943,557"
2012,Nova Scotia,Shellfish,Clams / quahaug,"1,221,272","2,284,255"
2012,Nova Scotia,Shellfish,"Crab, Other","1,064,538","1,148,901"
2012,Nova Scotia,Shellfish,"Crab, Queen","17,927,490","90,828,356"
2012,Nova Scotia,Shellfish,Lobster,"43,048,803","382,200,944"
2012,Nova Scotia,Shellfish,Other shellfish,x,x
2012,Nova Scotia,Shellfish,Scallop,"48,708,185","103,978,426"
2012,Nova Scotia,Shellfish,Sea cucumber,x,x
2012,Nova Scotia,Shellfish,Sea urchin,"329,561","955,984"
2012,Nova Scotia,Shellfish,Shrimp,"21,368,297","52,926,804"
2012,Nova Scotia,Shellfish,Total shellfish,"135,939,296","635,622,335"
2012,Nova Scotia,Pelagics,Alewife,"568,824","411,672"
2012,Nova Scotia,Pelagics,Capelin,0,0
2012,Nova Scotia,Pelagics,Eel,x,x
2012,Nova Scotia,Pelagics,Elvers,x,x
2012,Nova Scotia,Pelagics,Herring,"46,612,168","15,797,524"
2012,Nova Scotia,Pelagics,Mackerel,"682,772","878,523"
2012,Nova Scotia,Pelagics,Other pelagic/finfish,"27,704","109,256"
2012,Nova Scotia,Pelagics,Salmon,0,0
2012,Nova Scotia,Pelagics,Shark,"66,278","103,086"
2012,Nova Scotia,Pelagics,Silversides,x,x
2012,Nova Scotia,Pelagics,Swordfish,"1,484,765","10,631,496"
2012,Nova Scotia,Pelagics,Total pelagics,"50,262,936","55,589,935"
2012,Nova Scotia,Pelagics,Tuna,"574,410","8,578,837"
2012,Nova Scotia,Other,Marine plants,x,x
2012,Nova Scotia,Other,Miscellaneous,x,x
2012,Nova Scotia,Other,Total other,"452,418","148,495"
2012,Nova Scotia,Groundfish,Cod,"2,151,299","4,490,624"
2012,Nova Scotia,Groundfish,Flatfishes,"1,731,421","2,628,238"
2012,Nova Scotia,Groundfish,Greenland turbot,"61,485","77,628"
2012,Nova Scotia,Groundfish,Haddock,"9,223,911","19,974,941"
2012,Nova Scotia,Groundfish,Hake,"11,345,078","8,481,006"
2012,Nova Scotia,Groundfish,Halibut,"1,790,672","21,794,078"
2012,Nova Scotia,Groundfish,Other groundfish,"4,314,225","4,438,885"
2012,Nova Scotia,Groundfish,Pollock,"5,437,712","5,834,112"
2012,Nova Scotia,Groundfish,Redfish spp.,"13,219,952","9,179,950"
2012,Nova Scotia,Groundfish,Skate,"272,714","189,403"
2012,Nova Scotia,Groundfish,Total groundfish,"49,548,469","77,088,865"
2012,Nova Scotia,Grand total,Grand total,"236,203,119","768,449,629"
2012,Prince Edward Island,Shellfish,Clams / quahaug,"1,185,360","2,031,479"
2012,Prince Edward Island,Shellfish,"Crab, Other",x,x
2012,Prince Edward Island,Shellfish,"Crab, Queen","1,713,541","9,441,561"
2012,Prince Edward Island,Shellfish,Lobster,"12,147,183","112,421,369"
2012,Prince Edward Island,Shellfish,Other shellfish,"1,627,922","4,443,865"
2012,Prince Edward Island,Shellfish,Scallop,x,x
2012,Prince Edward Island,Shellfish,Sea cucumber,0,0
2012,Prince Edward Island,Shellfish,Sea urchin,0,0
2012,Prince Edward Island,Shellfish,Shrimp,0,0
